Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
DeMarcus Lawrence,DAL,0,0,0,0,0,1.0,5,4,1,2,2,0,0,0,0
Micah Parsons,DAL,0,0,0,0,0,1.0,5,2,3,1,2,0,0,0,0
Damone Clark,DAL,0,0,0,0,0,0.0,10,7,3,0,0,0,0,0,0
DaRon Bland,DAL,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Jayron Kearse,DAL,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Malik Hooker,DAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Johnathan Hankins,DAL,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0
Donovan Wilson,DAL,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Stephon Gilmore,DAL,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Jourdan Lewis,DAL,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Leighton Vander Esch,DAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Markquese Bell,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
C.J. Goodwin,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Osa Odighizuwa,DAL,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Mazi Smith,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kyzir White,ARI,1,0,0,0,1,0.0,14,8,6,1,0,0,0,0,0
Victor Dimukeje,ARI,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
Zaven Collins,ARI,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Kei'Trel Clark,ARI,0,0,0,0,2,0.0,10,8,2,0,0,0,0,0,0
Jalen Thompson,ARI,0,0,0,0,1,0.0,8,5,3,0,0,0,0,0,0
Krys Barnes,ARI,0,0,0,0,2,0.0,7,6,1,0,0,0,0,0,0
K'Von Wallace,ARI,0,0,0,0,1,0.0,7,4,3,0,0,0,0,0,0
Jonathan Ledbetter,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Ben Stille,ARI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Kevin Strong,ARI,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Marco Wilson,ARI,0,0,0,0,2,0.0,3,2,1,0,0,0,0,0,0
Andre Chachere,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dennis Gardeck,ARI,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
Cameron Thomas,ARI,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Leki Fotu,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Zach Pascal,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Zeke Turner,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jesse Luketa,ARI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
