Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Josh Sweat,PHI,1,42,1,42,1,1.5,3,1,2,1,2,0,0,0,0
Haason Reddick,PHI,0,0,0,0,0,2.0,4,4,0,1,2,0,0,0,1
Avonte Maddox,PHI,0,0,0,0,0,1.0,3,3,0,2,2,0,0,0,0
Kyzir White,PHI,0,0,0,0,0,0.5,6,3,3,0,1,0,0,0,0
Brandon Graham,PHI,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0
Ndamukong Suh,PHI,0,0,0,0,0,0.5,2,1,1,0,1,0,0,0,0
T.J. Edwards,PHI,0,0,0,0,0,0.0,14,8,6,0,0,0,0,0,0
Reed Blankenship,PHI,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Marcus Epps,PHI,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Linval Joseph,PHI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Darius Slay,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Milton Williams,PHI,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
James Bradberry,PHI,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jordan Davis,PHI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Josiah Scott,PHI,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Quez Watkins,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Javon Hargrave,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Patrick Johnson,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Gardner Minshew II,PHI,0,0,0,0,0,0.0,1,1,0,0,0,1,-2,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
DaRon Bland,DAL,1,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Jayron Kearse,DAL,1,2,0,2,1,0.0,3,2,1,0,0,1,6,0,0
Nahshon Wright,DAL,0,0,0,0,2,0.0,8,6,2,1,0,0,0,0,0
Anthony Barr,DAL,0,0,0,0,0,0.0,7,4,3,0,0,1,0,0,0
Donovan Wilson,DAL,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
Malik Hooker,DAL,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Damone Clark,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
DeMarcus Lawrence,DAL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Micah Parsons,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Quinton Bohanna,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Trevon Diggs,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Neville Gallimore,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Luke Gifford,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Israel Mukuamu,DAL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Carlos Watkins,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,1
Mackensie Alexander,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Osa Odighizuwa,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tyler Biadasz,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Chauncey Golston,DAL,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
