Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Devin McCourty,NWE,1,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Malcolm Butler,NWE,1,1,0,1,3,0.0,4,4,0,0,1,0,0,0,1
Kyle Van Noy,NWE,0,0,0,0,0,2.0,7,6,1,2,3,0,0,0,0
Dont'a Hightower,NWE,0,0,0,0,0,1.0,7,6,1,1,2,0,0,0,0
Malcom Brown,NWE,0,0,0,0,0,1.0,4,4,0,2,1,0,0,0,0
Patrick Chung,NWE,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Johnson Bademosi,NWE,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Trey Flowers,NWE,0,0,0,0,1,0.0,5,4,1,0,2,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Duron Harmon,NWE,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Jonathan Jones,NWE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jordan Richards,NWE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Cassius Marsh,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Deatrich Wise Jr.,NWE,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Brandon Bolden,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Alan Branch,NWE,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Adam Butler,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joe Cardona,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon King,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Elandon Roberts,NWE,0,0,0,0,0,0.0,0,0,0,2,3,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Buster Skrine,NYJ,1,0,0,0,3,0.0,2,2,0,0,0,1,0,0,0
Morris Claiborne,NYJ,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0
Demario Davis,NYJ,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Darron Lee,NYJ,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,1
Marcus Maye,NYJ,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Jamal Adams,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jordan Jenkins,NYJ,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Steve McLendon,NYJ,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Leonard Williams,NYJ,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0
David Bass,NYJ,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Josh Martin,NYJ,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Rontez Miles,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Darryl Roberts,NYJ,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Julian Stanford,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Mike Pennel,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Muhammad Wilkerson,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrence Brooks,NYJ,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Kony Ealy,NYJ,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0
