Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Ronald Blair,SFO,0,0,0,0,0,1.0,4,2,2,2,2,0,0,0,0
DeForest Buckner,SFO,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Sheldon Day,SFO,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Reuben Foster,SFO,0,0,0,0,0,0.0,9,8,1,1,0,0,0,0,0
Jaquiski Tartt,SFO,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Adrian Colbert,SFO,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Jimmie Ward,SFO,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Fred Warner,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Arik Armstead,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Greg Mabin,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
D.J. Reed,SFO,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Earl Mitchell,SFO,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0
Antone Exum,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Elijah Lee,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cassius Marsh,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Richard Sherman,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Malcolm Smith,SFO,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Solomon Thomas,SFO,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
K'Waun Williams,SFO,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kevin King,GNB,1,0,0,0,1,0.0,4,4,0,0,0,1,0,0,0
Kenny Clark,GNB,0,0,0,0,0,1.0,7,6,1,1,1,0,0,0,0
Clay Matthews,GNB,0,0,0,0,0,1.0,4,2,2,1,2,0,0,0,0
Blake Martinez,GNB,0,0,0,0,0,0.0,12,9,3,1,0,0,0,0,0
Kentrell Brice,GNB,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Oren Burks,GNB,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Kyler Fackrell,GNB,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Ha Ha Clinton-Dix,GNB,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,1
Reggie Gilbert,GNB,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tramon Williams,GNB,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tony Brown,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Mike Daniels,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Jackson,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Jermaine Whitehead,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
James Crawford,GNB,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
Raven Greene,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
Nick Perry,GNB,0,0,0,0,3,0.0,0,0,0,0,0,0,0,0,0
